hour,stationName,tapIn,tapOut,alightCount_mean,alightCount_sd,alightCount_count,boardCount_mean,boardCount_sd,boardCount_count,waitTime_mean,waitTime_sd,waitTime_count,stationCount_mean,stationCount_sd,stationCount_count
6,Admiralty NS10,3551,843,28.099999999999998,14.196527015800198,30,113.86666666666667,22.828798106525575,30,1.8863583138173345,1.1330059912076398,3416,110.05666666666669,40.56183213233975,600
6,Aljunied EW9,1109,506,16.32258064516129,9.282194771978567,31,34.16129032258065,12.025242268366279,31,1.900377714825306,1.1031488908321092,1059,34.804999999999986,14.553578692355739,600
6,Ang Mo Kio NS16,2083,1218,40.599999999999994,24.79098835158203,30,67.39999999999998,28.075759577651112,30,1.8993570722057382,1.1450621490480388,2022,64.8183333333334,29.407311684733948,600
6,Bartley CC12,206,646,21.53333333333333,16.374356177568785,30,6.7,3.563705936241093,30,2.0845771144278604,1.1457796233454456,201,7.130000000000001,4.834810474106947,600
6,Bayfront CE1/DT16,207,431,14.366666666666665,14.889207693733283,30,6.800000000000001,4.852301267049163,30,1.9259803921568635,1.124059111574273,204,6.590000000000003,4.694887639754171,600
6,Beauty World DT5,469,198,6.6000000000000005,5.048728074714838,30,15.533333333333335,13.895504937614337,30,1.9555793991416306,1.1295545735122468,466,15.206666666666669,8.854638893754325,600
6,Bedok EW5,1507,579,18.09375,11.101756254551974,32,47.67741935483872,27.8225173756488,31,1.8889039242219245,1.1077305828810524,1478,47.25833333333333,24.09368742038893,600
6,Bedok North DT29,489,71,2.448275862068965,1.571764406567884,29,15.419354838709676,7.1869056556508255,31,1.978033472803345,1.1789553627279077,478,16.123333333333335,8.850537209894568,600
6,Bedok Reservoir DT30,454,220,7.333333333333334,5.773502691896258,30,14.266666666666667,8.0341226301807,30,1.8838785046728967,1.1099916256854838,428,13.850000000000001,7.885501583626474,600
6,Bencoolen DT21,34,66,2.1999999999999997,2.9407951071213656,30,1.1,1.1551981469084385,30,1.806060606060606,1.402885284409285,33,1.0116666666666663,0.9625008582120782,600
6,Bendemeer DT23,69,86,2.96551724137931,2.9457324898024657,29,2.233333333333334,2.387948670004176,30,2.250746268656717,1.2370998752370894,67,2.590000000000002,1.9029631581568167,600
6,Bishan NS17/CC15,1370,1231,84.16666666666664,87.67296061271611,60,82.71666666666667,47.83909884739755,60,2.276083014305864,1.0782645241677091,4963,196.36666666666684,111.88650442304879,600
6,Boon Keng NE9,925,465,15.499999999999996,11.91275757763282,30,29.833333333333332,9.716971762328274,30,1.8983240223463695,1.1414831427306167,895,28.79666666666668,17.113155437770242,600
6,Boon Lay EW27,2510,1431,46.16129032258064,48.75865514565494,31,78.12903225806453,48.43603475064402,31,1.916308835672997,1.1264947481423466,2422,79.225,35.164830686288326,600
6,Botanic Gardens CC19/DT9,98,219,73.21666666666665,57.95500641326492,60,69.0327868852459,67.20093432215425,61,2.6822607456661096,0.9666093834463738,4211,189.0533333333333,126.76059154236057,600
6,Braddell NS18,718,353,11.766666666666667,9.550892116964002,30,22.645161290322584,6.691030748182095,31,1.8619658119658116,1.1517489567238732,702,22.118333333333336,9.00459893010469,600
6,Bras Basah CC2,14,54,1.8000000000000003,2.469119625319505,30,0.4666666666666667,0.6814453874610599,30,1.7428571428571427,1.1270890250240528,14,0.4066666666666668,0.6070995294183013,600
6,Buangkok NE15,1167,144,4.800000000000001,3.5854110522774234,30,35.96774193548387,33.238014251724636,31,1.8378475336322855,1.1163397302121763,1115,35.271666666666704,20.5624874558708,600
6,Bugis DT14/EW12,293,490,50.34426229508196,67.19372124583805,61,47.68333333333332,60.57338780961868,60,2.1342887102411745,1.0523743181151997,2861,101.98000000000002,68.3406687974748,600
6,Bukit Batok NS2,1723,771,25.700000000000003,17.206955289789875,30,53.032258064516135,27.945761599889337,31,1.894099756690999,1.127245920089232,1644,53.59666666666664,23.62232021293903,600
6,Bukit Gombak NS3,1672,374,12.46666666666667,7.347217786033181,30,52.64516129032258,26.51735078157542,31,1.8900122549019631,1.1166998325859223,1632,52.138333333333364,22.662196623788414,600
6,Bukit Panjang DT1/BP6,1936,213,15.214285714285715,12.447913457706456,14,122.06666666666665,33.132777613429155,15,1.9277444019661405,1.1569156716225972,1831,61.6916666666667,38.7125004795331,600
6,Buona Vista EW21/CC22,436,722,103.35,120.99318162607345,60,91.61290322580643,89.1518054833512,62,1.824859154929577,1.003890116830956,5680,180.97166666666652,156.83698734105826,600
6,Caldecott CC17/TE9,390,272,17.749999999999993,16.802567398657885,60,19.213114754098367,13.227641203301468,61,1.8834470989761078,1.0963719665726461,1172,37.03000000000002,20.5690928166225,600
6,Cashew DT2,119,143,4.766666666666667,5.917148272450245,30,3.933333333333333,3.9298445466607888,30,2.1067796610169482,1.1129946370701407,118,4.158333333333331,2.875246475123491,600
6,Changi Airport CG2,186,267,17.799999999999997,11.675370902643122,15,11.666666666666666,3.1997023671109215,15,1.7074285714285717,1.144000700448762,175,5.311666666666663,4.074579842188994,600
6,Chinatown DT19/NE4,369,434,43.96666666666667,44.35945876496805,60,41.32786885245902,41.3560641709997,61,1.593216977389922,0.9798149344033839,2521,67.93166666666673,58.88916329125531,600
6,Chinese Garden EW25,817,188,6.2666666666666675,5.999616846003633,30,25.838709677419352,7.014731043518581,31,1.880274656679152,1.1499393133854536,801,25.313333333333354,14.415900452810124,600
6,Choa Chu Kang NS4,2236,1212,37.875,20.62374140832404,32,69.75,31.74698360068143,32,1.831989247311828,1.140292563476195,2232,68.15833333333326,39.15765741349211,600
6,Clarke Quay NE5,37,140,4.666666666666667,4.566242953746951,30,1.1612903225806455,1.3686191141328887,31,2.038888888888889,1.0858249734721863,36,1.226666666666668,1.113862666110061,600
6,City Hall NS25/EW13,74,433,9.507936507936508,13.668745861097083,63,3.483870967741936,3.9452895153748755,62,1.191666666666666,1.1564681598086315,216,4.444999999999998,3.9580827469520568,600
6,Clementi MRT Station EW23,1714,1806,58.258064516129025,39.84718119845324,31,54,9.59861101062717,31,1.8721027479091996,1.1519486850805425,1674,53.06333333333331,20.265170056476673,600
6,Commonwealth EW20,563,452,14.580645161290322,13.05315847741684,31,17.533333333333328,7.91216145250934,30,1.8093155893536113,1.0884714958860917,526,17.09500000000001,9.398396570523499,600
