hour,stationName,line,direction,alightCount_mean,alightCount_sd,alightCount_count,boardCount_mean,boardCount_sd,boardCount_count,waitTime_mean,waitTime_sd,waitTime_count,trainCount_mean,trainCount_sd,trainCount_count
6,Admiralty NS10,nsl,BW,32.46666666666667,14.642729383879354,15,98.8,15.529695057258179,15,1.8860998650472305,1.1355270937772537,1482,224,88.19216032537781,15
6,Admiralty NS10,nsl,FW,24.933333333333334,12.509805677756873,15,128.53333333333333,14.807655677610372,15,1.8705394190871372,1.137830545050397,1928,189.66666666666666,63.064215194476496,15
6,Aljunied EW9,ewl,BW,11.625,6.259659202650998,16,25.312500000000004,6.117938105821819,16,1.8528395061728402,1.1017866167867751,405,64.37500000000001,39.628062447378554,16
6,Aljunied EW9,ewl,FW,21.2,11.321282108110747,15,42.73333333333333,9.066946774384625,15,1.8705148205928248,1.0790133876813743,641,138,58.88123640006213,15
6,Ang Mo Kio NS16,nsl,BW,27,13.846092795958207,15,40.199999999999996,8.841460771356093,15,1.8393034825870642,1.1454362045854953,603,116.6,59.094113799212565,15
6,Ang Mo Kio NS16,nsl,FW,53.4,27.968860235217715,15,96.06666666666668,7.878240074195916,15,1.8569049271339346,1.081734010479053,1441,409.4666666666666,186.47897877189672,15
6,Bartley CC12,ccl,BW,32.6,14.009180663305859,15,5.066666666666666,2.4043611170022654,15,1.9355263157894742,1.1994114053560792,76,200.99999999999997,98.64438294051152,15
6,Bartley CC12,ccl,FW,9.466666666666665,4.853079532871983,15,8.733333333333333,2.0862360730226457,15,1.950381679389312,1.1613237835002403,131,118.13333333333334,52.03963690807046,15
6,Bayfront CE1/DT16,dtl,BW,4.266666666666667,2.1201976547572383,15,9.799999999999999,2.007130147392396,15,1.9469387755102043,1.2525757638446855,147,7.800000000000001,3.255764119219941,15
6,Bayfront CE1/DT16,dtl,FW,26.333333333333336,15.605249422031344,15,1.7333333333333334,1.579632265825846,15,1.9730769230769225,1.2960116333760876,26,31.600000000000005,17.42248137157441,15
6,Beauty World DT5,dtl,BW,6.466666666666667,5.276181880687514,15,2.1333333333333333,1.3020130933435716,15,1.90625,1.1175830776653122,32,35.333333333333336,27.361773821641513,15
6,Beauty World DT5,dtl,FW,5.133333333333333,3.5023801430836534,15,25.73333333333333,5.22995037762128,15,1.9510362694300514,1.1848881644769143,386,136.86666666666665,51.00261431207881,15
6,Bedok EW5,ewl,BW,21.5,14.73318250299869,16,20.399999999999995,3.8877095717511696,15,1.9062091503267973,1.088355960656403,306,96.81250000000001,55.11711016856142,16
6,Bedok EW5,ewl,FW,11.9375,6.903803299631298,16,70.8125,11.906405838875138,16,1.8332744924977948,1.1186167756840244,1133,86.75,31.87370912418781,16
6,Bedok North DT29,dtl,BW,2.2,1.5212776585113303,15,17.4375,7.117759478937173,16,1.8921146953405021,1.1257653708703683,279,216.46666666666667,83.18985744038984,15
6,Bedok North DT29,dtl,FW,5.2142857142857135,4.0416784675633,14,12.933333333333334,5.105552532945545,15,1.8989690721649486,1.1732771380035614,194,71.21428571428571,31.69367462111345,14
6,Bedok Reservoir DT30,dtl,BW,4,1.812653934349932,15,19.400000000000002,4.747931880604141,15,1.8326460481099642,1.1995111972037145,291,201.06666666666666,81.75002548419583,15
6,Bedok Reservoir DT30,dtl,FW,10.533333333333333,5.180549704239432,15,7.4,2.585674822114003,15,1.8270270270270261,1.09958223024978,111,74.53333333333333,36.11661008192109,15
6,Bencoolen DT21,dtl,BW,3.8,2.65114530506561,15,0.39999999999999997,0.6324555320336761,15,1.5666666666666664,1.3411437904515187,6,106.06666666666666,68.8709628494442,15
6,Bencoolen DT21,dtl,FW,0.3333333333333333,0.4879500364742666,15,2.4,1.8439088914585777,15,1.8777777777777778,1.2538195612062735,36,50.266666666666666,24.952717191482275,15
6,Bendemeer DT23,dtl,BW,4.933333333333334,4.267261863247182,15,0.4666666666666667,0.7432233529572065,15,1.6,1.1860297916438132,7,125,68.78122667455956,15
6,Bendemeer DT23,dtl,FW,1.0714285714285714,0.8287419301647446,14,3.8,1.9346465162548803,15,2.1052631578947367,1.2269912464223176,57,63.857142857142854,25.946267384901265,14
6,Bishan NS17/CC15,ccl,BW,25.333333333333332,17.446516912580353,15,121.66666666666669,64.44340447984094,15,2.932109589041092,0.8514430404563463,1825,73.46666666666667,40.891610502935805,15
6,Bishan NS17/CC15,ccl,FW,91,45.92851588532522,15,89.13333333333333,28.063363678511184,15,1.9668661181750196,0.6389562556100385,1337,217.33333333333334,99.52362724977614,15
6,Bishan NS17/CC15,nsl,BW,23.599999999999998,7.109349980332738,15,71.13333333333333,32.60338866407834,15,1.4034676663542647,1.1243247586369955,1067,81.26666666666667,25.56355292394306,15
6,Bishan NS17/CC15,nsl,FW,194.46666666666667,95.95003660139751,15,44.666666666666664,15.154757228892409,15,2.3399999999999994,1.0655693159598285,670,417.5333333333333,196.2989217154966,15
6,Boon Keng NE9,nel,BW,24.200000000000003,11.552365249469172,15,37.66666666666667,6.883382335810816,15,1.9233628318584073,1.1417384488119484,565,185.8,75.99172887323238,15
6,Boon Keng NE9,nel,FW,7.866666666666666,3.9254966322140454,15,24.06666666666667,3.453086955726648,15,1.9072022160664817,1.1326729377870184,361,38.666666666666664,14.670995032311042,15
6,Boon Lay EW27,ewl,BW,11.73333333333333,5.257194616722425,15,125.73333333333333,13.619663655730937,15,1.8844114528101805,1.1300434715500578,1886,146.26666666666665,44.98327731607866,15
