hour,stationName,tapIn,tapOut,alightCount_mean,alightCount_sd,alightCount_count,boardCount_mean,boardCount_sd,boardCount_count,waitTime_mean,waitTime_sd,waitTime_count,stationCount_mean,stationCount_sd,stationCount_count
6,Admiralty NS10,3680,816,27.200000000000006,13.039462650235883,30,118.3,19.42474426228497,30,1.9077768385460687,1.1267308317967262,3549,115.40500000000004,40.26503566157677,600
6,Aljunied EW9,1070,517,16.67741935483871,9.806076676477005,31,33.096774193548384,10.83621963204782,31,1.8666666666666658,1.1059572611157416,1026,33.043333333333344,14.605718077399809,600
6,Ang Mo Kio NS16,2147,1220,40.66666666666667,25.981868124989937,30,70.16666666666667,28.806229371000864,30,1.9359144893111648,1.1468225372078922,2105,68.44833333333337,30.668576750294616,600
6,Bartley CC12,215,639,21.3,16.729387729175965,30,6.933333333333334,3.473379883642437,30,2.045192307692307,1.1417318659213926,208,7.193333333333337,4.469442405331994,600
6,Bayfront CE1/DT16,178,454,15.133333333333335,14.995938147363116,30,5.833333333333334,4.616935342196489,30,1.9142857142857144,1.107119815428433,175,5.651666666666669,4.078159249014528,600
6,Beauty World DT5,470,200,6.666666666666668,5.161751462528929,30,15.399999999999999,13.244647585163317,30,1.884415584415585,1.1824161742497987,462,14.573333333333334,8.448090866444426,600
6,Bedok EW5,1429,578,18.0625,11.815619787710753,32,44.93548387096774,24.55732814439303,31,1.873295046661883,1.1182416975158322,1393,44.60666666666661,22.772049372199792,600
6,Bedok North DT29,510,86,2.9655172413793105,1.972720359240901,29,16.096774193548388,6.779158446836292,31,1.9204408817635261,1.1750685727286228,499,16.139999999999986,8.718012363259376,600
6,Bedok Reservoir DT30,455,219,7.3,4.639782991358168,30,14.53333333333333,8.402517411500838,30,1.8798165137614669,1.1310684454640099,436,14.011666666666656,7.816010101840698,600
6,Bencoolen DT21,44,79,2.6333333333333333,3.0227109701715453,30,1.4666666666666663,1.5916448515084431,30,1.8272727272727274,1.1817140952700158,44,1.3399999999999996,1.2637490928250066,600
6,Bendemeer DT23,61,90,3.1034482758620694,3.222075945569065,29,1.9000000000000001,2.2644174100409478,30,2.0526315789473686,1.1912036624412863,57,2.0850000000000004,1.9245644304825078,600
6,Bishan NS17/CC15,1381,1206,83.81666666666669,85.92497548692916,60,82.51666666666668,48.1059887975717,60,2.278590183801258,1.0801917674380792,4951,197.15666666666672,112.93129733937135,600
6,Boon Keng NE9,906,466,15.533333333333333,13.26580601378606,30,29.366666666666667,8.503481369550876,30,1.921566401816118,1.1503310977741354,881,28.678333333333345,16.74112618869068,600
6,Boon Lay EW27,2479,1410,45.48387096774193,47.55268724810543,31,76.93548387096774,50.34609252224112,31,1.8248218029350092,1.101827065107599,2385,74.61000000000003,35.43440741305728,600
6,Botanic Gardens CC19/DT9,86,249,74.06666666666665,57.001893119518705,60,69.09836065573771,65.72079957873125,61,2.6792645314353543,0.9572380227454895,4215,189.14833333333337,126.6037407656213,600
6,Braddell NS18,708,419,13.966666666666669,11.378998602487055,30,22.451612903225808,6.662525595585204,31,1.9216954022988495,1.1667962651435453,696,22.656666666666656,9.826650530910833,600
6,Bras Basah CC2,19,47,1.5666666666666669,1.7749858344909906,30,0.6333333333333333,0.8087168778415268,30,2.1210526315789475,1.2616474887879385,19,0.6716666666666672,0.9654449901144644,600
6,Buangkok NE15,1203,172,5.733333333333333,3.999425246063561,30,37.12903225806452,33.47809426623512,31,1.8701129452649876,1.1177041240737218,1151,37.10833333333338,21.57101709516166,600
6,Bugis DT14/EW12,327,493,49.83606557377051,66.4422506963425,61,47.716666666666676,59.514160590018115,60,2.0813133077191734,1.07597001917682,2863,99.55666666666667,66.03674387383124,600
6,Bukit Batok NS2,1821,714,23.799999999999997,15.320484371563136,30,56.61290322580645,27.218470957978564,31,1.8694017094017086,1.13272732490456,1755,56.19833333333331,23.197900081023892,600
6,Bukit Gombak NS3,1634,392,13.06666666666667,7.7412167507187934,30,51.29032258064517,28.447839459130698,31,1.8911949685534604,1.15542247185088,1590,51.02833333333329,22.826650151759175,600
6,Bukit Panjang DT1/BP6,2017,248,17.714285714285715,15.51390726675001,14,127.6,35.028151943421584,15,1.9566353187042844,1.1662219196363444,1914,65.22833333333332,40.26145184578058,600
6,Buona Vista EW21/CC22,457,665,102.3,120.6666931984863,60,91.77419354838712,89.66557527102157,62,1.8310720562390153,1.0070664773825164,5690,182.16500000000013,157.2372528945661,600
6,Caldecott CC17/TE9,330,261,17.55,15.68808789161111,60,18.213114754098363,11.8449915633829,61,1.8672367236723681,1.0784153442538889,1111,34.859999999999985,19.916027387797975,600
6,Cashew DT2,129,162,5.399999999999999,5.769121130700034,30,4.066666666666667,3.9560807262546707,30,1.9090163934426225,1.16000884139981,122,3.9566666666666683,3.073629920854634,600
6,Changi Airport CG2,178,251,16.733333333333334,11.080656676431792,15,11.266666666666666,2.814926202195988,15,1.74792899408284,0.9899548304628458,169,5.199999999999998,4.118041254401777,600
6,Chinatown DT19/NE4,377,425,45.10000000000001,44.969933458414616,60,42.86885245901638,41.82442484555169,61,1.5866921606118574,0.989809764166044,2615,69.99666666666677,59.009690403283614,600
6,Chinese Garden EW25,815,180,6,5.9827337771520375,30,25.70967741935484,6.846865698439921,31,1.961731493099123,1.1450037910777033,797,26.30333333333334,14.15869945201574,600
6,Choa Chu Kang NS4,2258,1220,38.12499999999999,22.699651837602865,32,70.37500000000001,31.462983883266833,32,1.886678507992898,1.1414994688668356,2252,70.82666666666661,40.032457059898775,600
