hour,stationName,tapIn,tapOut,alightCount_mean,alightCount_sd,alightCount_count,boardCount_mean,boardCount_sd,boardCount_count,waitTime_mean,waitTime_sd,waitTime_count,stationCount_mean,stationCount_sd,stationCount_count
6,Admiralty NS10,3509,858,28.599999999999994,14.231097565930549,30,112.56666666666666,21.36333199720936,30,1.8749777909387004,1.126161278379479,3377,108.01166666666668,39.29017341227738,600
6,Aljunied EW9,1132,486,15.677419354838706,9.199228579158847,31,35,12.355835328567094,31,1.7882949308755762,1.0969772900694683,1085,33.56833333333335,14.916752765845215,600
6,Ang Mo Kio NS16,2002,1229,40.96666666666666,25.305694239035216,30,65.23333333333333,29.698117127514003,30,1.9216658150229942,1.1378012577639562,1957,63.34333333333334,29.49393059810377,600
6,Bartley CC12,198,652,21.733333333333334,16.391615462524257,30,6.4,3.672826591661224,30,1.7593749999999992,1.1442163348521148,192,5.8366666666666625,4.50671791879132,600
6,Bayfront CE1/DT16,162,394,13.133333333333333,13.808376601462468,30,5.300000000000001,3.8069808836236434,30,1.7761006289308177,1.2135030951594756,159,4.768333333333333,3.1934820758073834,600
6,Beauty World DT5,466,194,6.466666666666667,4.531372124791049,30,15.333333333333332,12.611798890894505,30,1.9315217391304345,1.1405507735583322,460,14.900000000000015,8.298480259925542,600
6,Bedok EW5,1500,567,17.71875,11.884482631539116,32,47.32258064516129,29.018829630401715,31,1.838718473074301,1.1229288318855295,1467,46.07500000000002,24.93496130922387,600
6,Bedok North DT29,497,67,2.310344827586207,2.2217021832669217,29,15.387096774193548,6.3281246266427615,31,1.9436058700209626,1.1470577981228234,477,15.865000000000002,8.304921906905552,600
6,Bedok Reservoir DT30,455,236,7.866666666666666,6.229702673667409,30,14.633333333333335,7.928487847012814,30,1.9621867881548969,1.1223266569265296,439,14.706666666666663,7.799059629686216,600
6,Bencoolen DT21,42,79,2.6333333333333333,3.045441288824686,30,1.3666666666666667,1.496739751946701,30,2.192682926829268,1.0486634931908418,41,1.5366666666666666,1.26543448254143,600
6,Bendemeer DT23,72,91,3.1379310344827593,3.1928954384364334,29,2.3,2.6671694928234833,30,1.7202898550724635,1.1582923168264114,69,2.0450000000000026,1.86066613450851,600
6,Bishan NS17/CC15,1318,1221,83.68333333333334,85.14961740743624,60,80.8666666666667,47.55602108296004,60,2.2664468260511077,1.083977263862881,4852,192.5883333333333,109.0865190798744,600
6,Boon Keng NE9,907,437,14.566666666666666,9.828471426153344,30,29.566666666666663,8.771754565702324,30,1.9154453213077771,1.144531802260688,887,28.63833333333334,17.165526189755287,600
6,Boon Lay EW27,2372,1405,45.32258064516129,47.30848204200047,31,73.77419354838707,47.24807557098267,31,1.880061215566247,1.1504175497110667,2287,73.35999999999994,33.239010007978806,600
6,Botanic Gardens CC19/DT9,105,261,75.83333333333336,58.054669345095434,60,70.83606557377047,68.72703988190503,61,2.6569081231196416,0.9730864760833488,4321,192.30333333333323,128.6186063472936,600
6,Braddell NS18,707,345,11.499999999999998,9.478651148038255,30,22.161290322580644,6.772969679510598,31,1.8708879184861706,1.1639117706546316,687,21.896666666666672,9.644394544627657,600
6,Bras Basah CC2,17,55,1.8333333333333335,2.035602653004643,30,0.5666666666666667,0.8172001541568765,30,1.8352941176470587,1.2698135574123612,17,0.5200000000000007,0.9206950992463759,600
6,Buangkok NE15,1196,165,5.5,4.4624873224972035,30,36.90322580645162,33.62375632268519,31,1.9137237762237747,1.1421130271795659,1144,37.68833333333332,21.058734872088348,600
6,Bugis DT14/EW12,331,490,50.721311475409834,68.9207591241664,61,48.78333333333333,62.198449941628304,60,2.124359412367609,1.0513008531825236,2927,103.90500000000002,70.90808065025098,600
6,Bukit Batok NS2,1739,703,23.43333333333333,15.96911530668374,30,53.45161290322581,27.888873181106266,31,1.8703681351840682,1.1169194704745224,1657,53.65666666666662,22.34795682336946,600
6,Bukit Gombak NS3,1625,359,11.966666666666667,6.462002109591719,30,50.7741935483871,27.756932680466637,31,1.8695044472681062,1.1442596202316195,1574,49.96666666666666,22.13011052560169,600
6,Bukit Panjang DT1/BP6,1950,214,15.285714285714285,12.449458260864644,14,123.6,32.834650686649404,15,1.9225458468176908,1.1704210209230606,1854,61.839999999999975,38.59227045534075,600
6,Buona Vista EW21/CC22,423,722,105.16666666666664,123.22298468549707,60,93,91.54932380156933,62,1.8293964620187244,1.0030921230897234,5766,184.59666666666672,158.72238441509427,600
6,Caldecott CC17/TE9,411,267,17.58333333333334,15.943004062317543,60,19.442622950819676,12.992978347507462,61,1.7959527824620596,1.09948226149322,1186,35.70666666666663,20.30363723648069,600
6,Cashew DT2,131,140,4.666666666666666,5.005743827281597,30,4.2666666666666675,3.999425246063563,30,1.7093749999999999,1.119155861584831,128,3.6850000000000036,2.880324422925682,600
6,Changi Airport CG2,155,264,17.599999999999998,10.35650244325481,15,9.866666666666667,2.669046557070429,15,1.986486486486486,1.1372271235018923,148,5.091666666666665,3.334435683054869,600
6,Chinatown DT19/NE4,383,398,43.28333333333333,43.17370969744836,60,41.6393442622951,40.15761977793886,61,1.575708661417325,1.0025904267291716,2540,67.49166666666677,56.61863102832355,600
6,Chinese Garden EW25,870,171,5.699999999999999,5.253242020327823,30,27.193548387096772,7.820568414289378,31,1.8546856465005939,1.129904979764802,843,26.313333333333354,15.28183168083671,600
6,Choa Chu Kang NS4,2329,1260,39.375,21.612048610932057,32,72.53124999999999,32.27801046652998,32,1.855450236966827,1.145691621132749,2321,71.79166666666671,40.665149138785665,600
6,Clarke Quay NE5,35,147,4.9,4.894402150803823,30,1.1290322580645162,1.3100110809676628,31,2.088571428571428,1.0999388829469061,35,1.2183333333333324,1.1688773871251184,600
6,City Hall NS25/EW13,78,403,9.222222222222221,13.905724563187636,63,3.870967741935484,4.870398613530526,62,1.1329166666666663,1.1322395298076877,240,4.676666666666659,4.690998258721459,600
6,Clementi MRT Station EW23,1752,1746,56.322580645161295,40.04862635744553,31,55.0967741935484,12.014865344535158,31,1.8753512880562055,1.1142871207544767,1708,54.18666666666665,22.14684236183319,600
6,Commonwealth EW20,556,432,13.935483870967738,12.010926924738067,31,17.633333333333336,6.445973527144188,30,1.909829867674859,1.1737895801956704,529,17.668333333333347,8.421987909997785,600
6,Dakota CC8,353,592,19.733333333333334,22.425252596637314,30,11.43333333333333,5.3735195769326225,30,1.9291545189504364,1.1852757159571399,343,11.265000000000002,5.390411477165285,600
6,Dhoby Ghaut NS24/NE6/CC1,120,335,28.186666666666667,58.65397692406722,75,25.13333333333333,35.859460410063335,75,0.945092838196286,1.2759882537681984,1885,30.146666666666672,33.53888166284337,600
6,Dover EW22,220,379,12.225806451612904,9.164095436064072,31,6.838709677419354,2.4508063189291858,31,1.8259433962264149,1.083760591864046,212,6.566666666666668,3.5744720317923404,600
6,Downtown DT17,16,276,9.199999999999998,11.223128827989777,30,0.5333333333333333,0.7302967433402214,30,1.8,0.9395034149308171,16,0.4800000000000006,0.7191165048719843,600
6,Esplanade CC3,5,110,3.6666666666666665,3.4674181325226887,30,0.13333333333333333,0.34574590364176044,30,2.525,1.4244882121894398,4,0.18833333333333335,0.39130434110527734,600
6,Eunos EW7,706,261,8.156250000000002,4.971592689568181,32,21.96875,9.361845610017632,32,1.773968705547652,1.105679218684965,703,20.791666666666668,11.401824410536408,600
6,Expo CG1/DT35,26,368,11.42553191489362,11.981407119313742,47,4.04255319148936,2.750157677760301,47,1.999473684210528,0.9863350669945689,190,6.388333333333327,4.467750950214667,600
6,Farrer Park NE8,479,305,9.531249999999996,5.599449137652852,32,14.700000000000003,7.311540240582359,30,1.825396825396825,1.1265550419869688,441,14.644999999999992,9.817311631982852,600
6,Farrer Road CC20,181,324,10.8,9.241585175267508,30,5.833333333333332,2.74280668399126,30,1.785142857142858,1.1426963762129385,175,5.323333333333336,3.830131250738714,600
6,Fort Canning DT20,41,79,2.6333333333333333,1.8096167118144553,30,1.3333333333333337,1.3217891045025336,30,2.194999999999999,1.2655089175951397,40,1.4950000000000012,1.2419927173094651,600
6,Geylang Bahru DT24,347,80,2.6666666666666665,2.708012801545319,30,11.333333333333332,5.9092757787976895,30,1.9414705882352934,1.184468396629147,340,11.166666666666664,5.993225632163276,600
6,Gul Circle EW30,44,318,10.600000000000001,13.505043757668899,30,1.4666666666666666,1.8143742786394725,30,2.0909090909090913,1.2324711764766203,44,1.5333333333333348,1.525155419614295,600
6,HarbourFront CC29/NE1,221,675,39.99999999999999,40.35426454126832,31,22.935483870967744,17.031217384303382,31,2.2368495077355823,1.387760655834987,711,27.234999999999996,20.438999392344694,600
6,Haw Par Villa CC25,214,192,6.3999999999999995,6.780295995980075,30,6.966666666666667,4.529469279509797,30,1.8650717703349284,1.198065395518809,209,6.598333333333334,3.6367164769121922,600
6,Hillview DT3,322,95,3.3928571428571437,3.675134522247282,28,10.099999999999998,10.373540611940856,30,1.9630363036303629,1.1301204392837751,303,10.383333333333335,7.092264983290672,600
6,Holland Village CC21,195,109,3.633333333333333,4.029916858330637,30,6.266666666666667,3.3002960508094596,30,1.9739361702127654,1.131754322355939,188,6.351666666666668,3.5287510579434644,600
6,Hougang NE14,1511,425,13.709677419354838,7.510852363467576,31,48.41935483870967,40.21589585686104,31,1.906395736175883,1.1381618516809486,1501,47.801666666666655,25.49979208181737,600
6,Jalan Besar DT22,217,125,4.166666666666667,5.193386599110074,30,7.066666666666667,4.48701831212369,30,1.7712264150943395,1.2020016503526911,212,6.346666666666669,4.11639770985893,600
6,Joo Koon EW29,285,1377,44.41935483870969,56.171626404290855,31,9.032258064516128,7.829362983741577,31,1.705,1.1361965729264234,280,7.998333333333334,5.281554877631333,600
6,Jurong East NS1/EW24,1132,2567,200.48936170212767,201.2147751879358,47,160.8478260869565,83.987291999393,46,1.7237059062035418,0.9235498400828395,7399,220.03000000000003,210.9961723378776,600
6,Kaki Bukit DT28,518,286,9.533333333333333,6.770795976908439,30,16.633333333333336,7.805759736084076,30,1.9250501002004015,1.1757565058032828,499,16.371666666666655,8.713403634270117,600
6,Kallang EW10,676,130,4.0625,3.0473415172213048,32,21,6.787084508758699,32,1.8004464285714288,1.0941994917185998,672,20.183333333333334,9.78669272429093,600
6,Kembangan EW6,420,150,4.687500000000001,4.075398258789188,32,12.374999999999998,5.944637051782002,32,1.8280303030303005,1.1423037611002176,396,12.460000000000008,6.759034021330454,600
6,Kent Ridge CC24,29,600,20.000000000000004,24.064568316840056,30,0.9000000000000002,0.9595257449242384,30,1.8185185185185186,1.0827447447742162,27,0.8766666666666675,0.9502423320948532,600
6,Khatib NS14,2263,820,26.451612903225804,18.8039689244539,31,70.99999999999999,24.93190726759588,31,1.9236710586097223,1.1475897148225753,2201,71.92499999999998,37.409068941436026,600
6,King Albert Park DT6,141,270,9.000000000000002,6.638446016745289,30,4.366666666666665,3.347498637256896,30,1.8038167938931295,1.1899194917920144,131,4.138333333333329,2.7279295974609354,600
6,Kovan NE13,702,315,10.499999999999998,6.290386754186214,30,21.580645161290324,18.207643438124897,31,1.8594917787742915,1.1084003059953182,669,21.394999999999982,11.46668142801654,600
6,Kranji NS7,1198,531,17.700000000000003,10.82191263610312,30,38.599999999999994,8.265424452459195,30,1.846718480138171,1.115461592221094,1158,36.52000000000003,14.767862051855667,600
6,Labrador Park CC27,6,120,3.9999999999999996,4.378631497751717,30,0.2,0.4068381021724863,30,1.6999999999999997,1.1916375287812984,6,0.16999999999999993,0.3759462185811194,600
6,Lakeside EW26,2592,988,31.87096774193548,20.816246756614362,31,82.16129032258064,34.49163838207122,31,1.9208480565371062,1.1178307336866107,2547,82.23166666666661,32.83206620832847,600
6,Lavender EW11,539,225,7.031250000000001,5.772484090982424,32,16.25,6.951444500617211,32,1.9348076923076918,1.119764616031619,520,16.99000000000002,8.287402189976726,600
6,Little India NE7/DT12,381,385,51.4,52.427900451598404,60,49.60655737704918,50.94777675506707,61,1.3430270984798403,0.9704285279506513,3026,69.45166666666674,65.08823596721939,600
6,Lorong Chuan CC14,309,182,5.870967741935483,3.6854844591891482,31,9.766666666666666,3.234334481810726,30,1.829351535836178,1.2370806011212767,293,9.408333333333347,4.185785297067219,600
6,MacPherson CC10/DT26,636,207,61.5,45.241910972842156,60,63.524590163934434,37.11406137722693,61,2.5979870967741965,0.7637239111966443,3875,174.60833333333332,95.16767522589834,600
6,Marina Bay NS27/CE2/TE20,13,94,2.7068965517241375,4.801347108810834,58,1.1935483870967742,1.8890426899637685,62,1.5472972972972978,1.2068551879368665,74,1.9450000000000012,2.6166236895194284,600
